Index,Churn Reason,Churn Score,Churn Value,City,CLTV,Contract,Dependents,Device Protection,Gender,Internet Service,Is Manual Payment Method,Lat Long,Latitude,Longitude,Monthly Charges,Multiple Lines,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Senior Citizen,Streaming Movies,Streaming TV,Sum Of Additional Services,Tech Support,Tenure Category,Tenure Months,Total Charges,Zip Code
2628,"",70,0,Oakland,5105,One year,No,No,Male,DSL,Yes,"37.84551, -122.235181",37.84551,-122.235181,54.35,No,No,Yes,No,Yes,Mailed check,Yes,No,No,No,2,Yes,established customers,28,1426.45,94618
2629,"",54,0,Oakland,2660,Month-to-month,No,No,Female,Fiber optic,Yes,"37.787186, -122.14633",37.787186,-122.14633,84.7,No,Yes,No,Yes,No,Electronic check,Yes,Yes,No,Yes,2,No,New Customers,5,392.5,94619
2630,"",41,0,Oakland,2701,Month-to-month,No,Yes,Female,Fiber optic,Yes,"37.750553, -122.197175",37.750553,-122.197175,86.1,No,No,No,Yes,Yes,Electronic check,Yes,Yes,Yes,No,2,No,established customers,45,3861.45,94621
2631,"",32,0,Berkeley,5402,Month-to-month,No,No,Male,Fiber optic,Yes,"37.866009, -122.286228",37.866009,-122.286228,70.35,No,No,No,Yes,No,Mailed check,Yes,No,No,No,0,No,established customers,37,2552.9,94702
2632,"",59,0,Berkeley,4953,Two year,No,Yes,Female,Fiber optic,No,"37.863843, -122.275684",37.863843,-122.275684,110,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes,6,Yes,Loyal Customers,60,6668.35,94703
2633,"",52,0,Berkeley,4510,One year,No,Yes,Female,Fiber optic,No,"37.858898, -122.240512",37.858898,-122.240512,94.9,Yes,No,Yes,No,No,Credit card (automatic),Yes,No,No,Yes,3,No,established customers,47,4615.25,94705
2634,"",64,0,Berkeley,4539,Month-to-month,Yes,No,Female,Fiber optic,No,"37.897743, -122.263124",37.897743,-122.263124,69.75,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,0,No,Loyal Customers,50,3557.7,94708
2635,"",52,0,Berkeley,3773,Month-to-month,Yes,No,Male,DSL,No,"37.878554, -122.26609",37.878554,-122.26609,71.6,Yes,No,No,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,3,Yes,established customers,27,1957.1,94709
2636,"",21,0,Richmond,4671,Two year,No,No internet service,Female,No,No,"37.945288, -122.383941",37.945288,-122.383941,23.65,Yes,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,0,No internet service,Loyal Customers,62,1416.75,94801
2637,"",78,0,El Sobrante,4090,Two year,No,Yes,Female,DSL,No,"37.963995, -122.288296",37.963995,-122.288296,81.85,No,No,Yes,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,5,Yes,Loyal Customers,71,5924.4,94803
2638,"",48,0,Richmond,6025,Two year,No,No internet service,Male,No,Yes,"37.921034, -122.341798",37.921034,-122.341798,25.1,Yes,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,Loyal Customers,66,1697.7,94804
2639,"",59,0,Richmond,5671,Two year,Yes,Yes,Male,Fiber optic,No,"37.941456, -122.320968",37.941456,-122.320968,114.7,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,6,Yes,Loyal Customers,68,7849.85,94805
2640,"",78,0,San Pablo,3000,Month-to-month,No,Yes,Female,DSL,Yes,"37.980269, -122.342635",37.980269,-122.342635,49.15,No phone service,No,No,No,No,Electronic check,No,No,Yes,Yes,3,No,established customers,13,649.4,94806
2641,"",56,0,San Rafael,5344,One year,No,No,Male,Fiber optic,Yes,"37.972662, -122.491452",37.972662,-122.491452,80.9,No,No,No,Yes,Yes,Electronic check,Yes,No,Yes,No,1,No,Loyal Customers,56,4557.5,94901
2642,"",48,0,Belvedere Tiburon,2870,One year,No,No internet service,Female,No,No,"37.885629, -122.46858",37.885629,-122.46858,19.3,No,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,0,No internet service,established customers,16,360.35,94920
2643,"",25,0,Bodega,5819,Month-to-month,Yes,No,Female,Fiber optic,Yes,"38.343282, -122.9755",38.343282,-122.9755,70.2,No,No,No,No,Yes,Electronic check,Yes,No,No,No,0,No,established customers,14,1046.5,94922
2644,"",69,0,Bolinas,2237,One year,No,No,Female,DSL,No,"37.943087, -122.72379",37.943087,-122.72379,54.25,No,No,Yes,No,No,Bank transfer (automatic),Yes,No,No,No,2,Yes,New Customers,8,447.75,94924
2645,"",73,0,Corte Madera,3280,Month-to-month,Yes,Yes,Female,Fiber optic,No,"37.924014, -122.511694",37.924014,-122.511694,99.3,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,3,No,established customers,43,4209.95,94925
2646,"",39,0,Rohnert Park,5806,One year,No,Yes,Female,DSL,No,"38.34719, -122.697822",38.34719,-122.697822,74,Yes,No,Yes,No,No,Credit card (automatic),Yes,No,No,Yes,4,Yes,Loyal Customers,52,3877.65,94928
2647,"",76,0,Dillon Beach,2166,Month-to-month,No,No,Male,DSL,Yes,"38.24458, -122.956268",38.24458,-122.956268,50.25,No,No,No,Yes,No,Mailed check,Yes,No,No,No,1,Yes,New Customers,3,152.3,94929
2648,"",69,0,Fairfax,5696,One year,No,No internet service,Male,No,Yes,"37.971751, -122.611873",37.971751,-122.611873,19.8,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,established customers,29,572.2,94930
2649,"",25,0,Inverness,2069,Month-to-month,Yes,No,Female,DSL,No,"38.099323, -122.945723",38.099323,-122.945723,35.5,No phone service,No,No,Yes,Yes,Credit card (automatic),No,No,Yes,No,1,No,established customers,16,552.7,94937
2650,"",27,0,Lagunitas,2047,One year,No,Yes,Female,DSL,Yes,"38.021772, -122.691744",38.021772,-122.691744,80.75,Yes,No,No,Yes,No,Mailed check,Yes,No,Yes,Yes,4,Yes,established customers,40,3208.65,94938
2651,"",47,0,Mill Valley,2691,One year,No,No internet service,Female,No,Yes,"37.901371, -122.572024",37.901371,-122.572024,19.55,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,established customers,36,620.75,94941
2652,"",29,0,Olema,2403,One year,No,No internet service,Male,No,No,"38.052209, -122.775567",38.052209,-122.775567,20.05,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,0,No internet service,established customers,26,505.9,94950
2653,"",37,0,Penngrove,6144,Two year,No,Yes,Female,Fiber optic,Yes,"38.325599, -122.642352",38.325599,-122.642352,112.4,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,5,No,Loyal Customers,72,8046.85,94951
2654,"",54,0,Petaluma,4352,Month-to-month,No,No,Female,DSL,No,"38.237018, -122.77872",38.237018,-122.77872,50.2,No,No,No,No,Yes,Bank transfer (automatic),Yes,No,No,No,1,Yes,established customers,34,1815.3,94952
2655,"",76,0,Petaluma,3415,Month-to-month,No,No,Male,DSL,No,"38.235021, -122.557332",38.235021,-122.557332,62.25,No,No,Yes,No,No,Bank transfer (automatic),Yes,No,No,Yes,3,Yes,New Customers,10,612.95,94954
2656,"",57,0,Point Reyes Station,4978,One year,No,No,Female,DSL,Yes,"38.060264, -122.830646",38.060264,-122.830646,55.7,No,No,Yes,No,No,Mailed check,Yes,No,No,No,2,Yes,established customers,14,795.15,94956
2657,"",77,0,San Geronimo,2021,Two year,No,No internet service,Male,No,Yes,"38.00474, -122.663717",38.00474,-122.663717,19.65,No,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,established customers,47,973.1,94963
2658,"",77,0,San Quentin,5436,Month-to-month,No,No,Male,Fiber optic,Yes,"37.942551, -122.491642",37.942551,-122.491642,89.25,No,No,Yes,Yes,Yes,Electronic check,Yes,No,Yes,No,3,Yes,established customers,24,2210.2,94964
2659,"",20,0,Stinson Beach,5090,One year,No,No,Male,DSL,Yes,"37.921137, -122.657562",37.921137,-122.657562,54,No,No,Yes,No,No,Mailed check,Yes,Yes,No,No,2,Yes,established customers,20,1055.9,94970
2660,"",55,0,Woodacre,4574,Two year,No,Yes,Male,DSL,No,"38.005839, -122.638155",38.005839,-122.638155,56.75,No phone service,No,No,No,No,Bank transfer (automatic),No,No,Yes,Yes,4,Yes,established customers,22,1304.85,94973
2661,"",52,0,Aptos,2810,Month-to-month,No,No internet service,Male,No,Yes,"37.013471, -121.877877",37.013471,-121.877877,21.1,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,1,21.1,95003
2662,"",52,0,Aromas,5266,Month-to-month,Yes,No,Female,Fiber optic,No,"36.878364, -121.629781",36.878364,-121.629781,96.65,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,No,3,Yes,Loyal Customers,59,5580.8,95004
2663,"",47,0,Ben Lomond,4455,One year,No,No internet service,Female,No,No,"37.078873, -122.090386",37.078873,-122.090386,24.5,Yes,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,0,No internet service,Loyal Customers,58,1497.9,95005
2664,"",25,0,Brookdale,5400,Two year,No,No,Female,Fiber optic,No,"37.106902, -122.100006",37.106902,-122.100006,79.2,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,Yes,No,No,1,No,Loyal Customers,59,4590.35,95007
2665,"",59,0,Campbell,5998,Month-to-month,Yes,No,Female,Fiber optic,Yes,"37.279689, -121.954567",37.279689,-121.954567,69.55,No,No,No,Yes,Yes,Electronic check,Yes,No,No,No,0,No,New Customers,3,200.2,95008
2666,"",20,0,Capitola,3398,Two year,No,No internet service,Male,No,No,"36.977025, -121.952864",36.977025,-121.952864,20.05,No,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,0,No internet service,established customers,32,614.45,95010
2667,"",41,0,Castroville,2641,Month-to-month,No,Yes,Male,Fiber optic,Yes,"36.784481, -121.759054",36.784481,-121.759054,98.85,Yes,No,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,3,No,established customers,46,4564.9,95012
2668,"",48,0,Cupertino,4950,Two year,Yes,No internet service,Male,No,Yes,"37.306612, -122.080621",37.306612,-122.080621,25.75,Yes,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,0,0,95014
2669,"",37,0,Felton,4848,One year,No,No internet service,Female,No,No,"37.089111, -122.062213",37.089111,-122.062213,19.6,No,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,0,No internet service,Loyal Customers,52,1012.4,95018
2670,"",66,0,Hollister,2426,Month-to-month,No,No,Male,Fiber optic,No,"36.875409, -121.279679",36.875409,-121.279679,87.65,Yes,No,Yes,No,No,Bank transfer (automatic),Yes,No,No,No,2,Yes,established customers,32,2766.4,95023
2671,"",27,0,Los Gatos,3574,Month-to-month,No,No,Female,Fiber optic,No,"37.233034, -121.947427",37.233034,-121.947427,74.75,Yes,No,No,Yes,No,Credit card (automatic),Yes,No,No,No,0,No,established customers,16,1129.35,95032
2672,"",24,0,Los Gatos,5446,One year,No,Yes,Female,Fiber optic,No,"37.160194, -121.945611",37.160194,-121.945611,107.45,Yes,Yes,Yes,No,No,Bank transfer (automatic),Yes,No,Yes,Yes,5,No,Loyal Customers,51,5680.9,95033
2673,"",77,0,Milpitas,4422,One year,No,Yes,Male,DSL,No,"37.441931, -121.878502",37.441931,-121.878502,75.35,No,No,No,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,4,Yes,established customers,29,2243.9,95035
2674,"",78,0,Morgan Hill,5669,Two year,No,Yes,Male,DSL,No,"37.161544, -121.649371",37.161544,-121.649371,64.95,No,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,No,No,4,Yes,Loyal Customers,70,4523.25,95037
2675,"",34,0,Moss Landing,6171,Two year,Yes,Yes,Female,Fiber optic,Yes,"36.863303, -121.781632",36.863303,-121.781632,100.45,Yes,No,Yes,No,Yes,Electronic check,Yes,No,Yes,No,4,Yes,Loyal Customers,71,7159.7,95039
2676,"",54,0,Mount Hermon,3877,One year,No,Yes,Male,DSL,No,"37.051166, -122.056194",37.051166,-122.056194,68.5,Yes,Yes,No,No,Yes,Bank transfer (automatic),Yes,No,No,Yes,3,No,established customers,41,2839.95,95041
2677,"",21,0,Paicines,3154,Month-to-month,No,No,Male,Fiber optic,Yes,"36.525703, -120.952122",36.525703,-120.952122,80.55,No,No,No,Yes,No,Electronic check,Yes,No,No,Yes,1,No,New Customers,1,80.55,95043
2678,"",57,0,San Juan Bautista,5928,Month-to-month,No,Yes,Female,DSL,No,"36.810568, -121.503022",36.810568,-121.503022,81.25,No,No,Yes,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,5,Yes,New Customers,7,580.1,95045
2679,"",69,0,Santa Clara,6194,One year,Yes,No,Male,Fiber optic,Yes,"37.351214, -121.952417",37.351214,-121.952417,89.55,Yes,Yes,Yes,No,Yes,Electronic check,Yes,No,No,No,3,Yes,Loyal Customers,67,6038.55,95050
2680,"",46,0,Santa Clara,3598,Month-to-month,Yes,No,Male,DSL,Yes,"37.348129, -121.98469",37.348129,-121.98469,55.7,Yes,No,No,Yes,Yes,Mailed check,Yes,No,No,No,1,Yes,New Customers,5,259.4,95051
2681,"",57,0,Santa Clara,3965,Month-to-month,Yes,No internet service,Male,No,Yes,"37.393554, -121.965114",37.393554,-121.965114,24.8,Yes,No internet service,No internet service,Yes,No,Electronic check,Yes,No,No internet service,No internet service,0,No internet service,established customers,15,324.15,95054
2682,"",70,0,Santa Cruz,3402,Month-to-month,Yes,No internet service,Female,No,Yes,"36.993451, -122.098858",36.993451,-122.098858,20,No,No internet service,No internet service,No,Yes,Electronic check,Yes,No,No internet service,No internet service,0,No internet service,established customers,20,417.65,95060
2683,"",68,0,Santa Cruz,5546,One year,Yes,No,Male,Fiber optic,Yes,"37.007882, -122.065975",37.007882,-122.065975,105.2,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,4,Yes,Loyal Customers,54,5637.85,95064
2684,"",43,0,Santa Cruz,5293,One year,No,No internet service,Male,No,Yes,"37.031404, -121.981865",37.031404,-121.981865,19.55,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,established customers,42,839.4,95065
2685,"",62,0,Scotts Valley,4654,Month-to-month,No,No,Female,Fiber optic,Yes,"37.070177, -122.010077",37.070177,-122.010077,79.75,No,No,No,Yes,Yes,Electronic check,Yes,No,Yes,No,1,No,New Customers,9,769.1,95066
2686,"",67,0,Saratoga,4769,Two year,No,No,Female,Fiber optic,No,"37.257772, -122.051824",37.257772,-122.051824,97.45,Yes,Yes,No,No,No,Bank transfer (automatic),Yes,No,Yes,Yes,3,No,Loyal Customers,63,6253,95070
2687,"",21,0,Soquel,4884,Two year,No,No internet service,Female,No,No,"37.023669, -121.946461",37.023669,-121.946461,24.25,Yes,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,0,No internet service,Loyal Customers,69,1641.8,95073
2688,"",66,0,Watsonville,5294,Two year,No,No internet service,Female,No,No,"36.931654, -121.752383",36.931654,-121.752383,24.6,Yes,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,0,No internet service,Loyal Customers,69,1678.05,95076
2689,"",71,0,San Jose,2454,Month-to-month,No,No,Male,DSL,Yes,"37.34667, -121.910019",37.34667,-121.910019,50.15,No,Yes,No,Yes,Yes,Mailed check,Yes,No,No,No,1,No,established customers,40,2058.5,95110
2690,"",32,0,San Jose,5544,Two year,No,Yes,Male,DSL,No,"37.284265, -121.827673",37.284265,-121.827673,39.6,No phone service,Yes,Yes,No,No,Bank transfer (automatic),No,No,No,No,3,No,Loyal Customers,60,2424.5,95111
2691,"",33,0,San Jose,4994,Two year,No,Yes,Female,DSL,Yes,"37.333851, -121.891147",37.333851,-121.891147,89.85,Yes,Yes,Yes,No,No,Mailed check,Yes,Yes,Yes,Yes,6,Yes,Loyal Customers,71,6293.45,95113
2692,"",61,0,San Jose,3981,Month-to-month,No,No,Male,Fiber optic,No,"37.311088, -121.961786",37.311088,-121.961786,98.85,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,3,No,established customers,32,3145.9,95117
2693,"",79,0,San Jose,2380,Two year,No,No,Male,DSL,No,"37.255479, -121.889838",37.255479,-121.889838,53.85,Yes,No,No,Yes,No,Credit card (automatic),Yes,No,No,No,1,Yes,established customers,39,2200.7,95118
2694,"",23,0,San Jose,2997,One year,No,No internet service,Female,No,Yes,"37.233226, -121.78809",37.233226,-121.78809,24.25,Yes,No internet service,No internet service,Yes,No,Electronic check,Yes,No,No internet service,No internet service,0,No internet service,established customers,38,914.4,95119
2695,"",35,0,San Jose,5386,Two year,No,Yes,Male,Fiber optic,No,"37.186141, -121.843554",37.186141,-121.843554,89.45,Yes,No,No,Yes,No,Credit card (automatic),Yes,No,Yes,No,2,No,Loyal Customers,52,4577.75,95120
2696,"",79,0,San Jose,4275,Month-to-month,Yes,No,Female,Fiber optic,No,"37.304681, -121.809955",37.304681,-121.809955,105.25,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,4,No,established customers,48,4997.5,95121
2697,"",27,0,San Jose,4031,Two year,No,Yes,Male,DSL,No,"37.32886, -121.834567",37.32886,-121.834567,59.5,No phone service,No,Yes,No,Yes,Bank transfer (automatic),No,No,Yes,Yes,5,Yes,Loyal Customers,70,4144.8,95122
2698,"",59,0,San Jose,5790,Month-to-month,No,No,Male,Fiber optic,No,"37.238758, -121.828375",37.238758,-121.828375,70.55,No,No,No,No,No,Credit card (automatic),Yes,No,No,No,0,No,established customers,20,1493.55,95123
2699,"",71,0,San Jose,5258,One year,No,Yes,Female,DSL,No,"37.257063, -121.923037",37.257063,-121.923037,82.5,Yes,No,Yes,Yes,No,Credit card (automatic),Yes,No,Yes,Yes,5,Yes,Loyal Customers,50,4179.1,95124
2700,"",66,0,San Jose,3807,One year,No,Yes,Male,DSL,No,"37.327069, -121.916819",37.327069,-121.916819,61.6,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,3,No,established customers,25,1611,95126
2701,"",70,0,San Jose,4244,Month-to-month,No,No,Male,DSL,No,"37.375156, -121.795867",37.375156,-121.795867,49.05,No,Yes,No,Yes,No,Bank transfer (automatic),Yes,No,No,No,1,No,New Customers,12,593.05,95127
2702,"",22,0,San Jose,2072,One year,No,Yes,Female,DSL,Yes,"37.277592, -121.986477",37.277592,-121.986477,66.25,No,Yes,Yes,Yes,Yes,Mailed check,Yes,No,No,No,4,Yes,established customers,23,1533.8,95130
2703,"",39,0,San Jose,3792,Month-to-month,No,No internet service,Male,No,Yes,"37.387027, -121.897775",37.387027,-121.897775,19.4,No,No internet service,No internet service,Yes,No,Electronic check,Yes,No,No internet service,No internet service,0,No internet service,established customers,27,529.8,95131
2704,"",69,0,San Jose,5527,Month-to-month,No,No,Male,Fiber optic,No,"37.424655, -121.74841",37.424655,-121.74841,86.05,Yes,No,No,Yes,No,Credit card (automatic),Yes,Yes,No,Yes,1,No,established customers,47,3865.6,95132
2705,"",58,0,San Jose,4347,Two year,Yes,No internet service,Male,No,No,"37.371862, -121.860349",37.371862,-121.860349,19.15,No,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,0,No internet service,established customers,26,515.75,95133
2706,"",45,0,San Jose,4725,Month-to-month,Yes,No internet service,Male,No,Yes,"37.270938, -121.851046",37.270938,-121.851046,19.25,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,2,48.35,95136
2707,"",72,0,San Jose,2817,Month-to-month,Yes,No,Female,Fiber optic,Yes,"37.246064, -121.749494",37.246064,-121.749494,81.95,No,Yes,Yes,No,Yes,Electronic check,Yes,No,No,No,2,No,established customers,26,2070.05,95138
2708,"",29,0,San Jose,5408,Two year,No,Yes,Female,Fiber optic,No,"37.218705, -121.762429",37.218705,-121.762429,114.65,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes,6,Yes,Loyal Customers,72,8333.95,95139
2709,"",56,0,Mount Hamilton,5975,Two year,Yes,No internet service,Female,No,No,"37.382909, -121.634151",37.382909,-121.634151,20,No,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,0,No internet service,Loyal Customers,63,1209.25,95140
2710,"",20,0,San Jose,5406,Two year,Yes,No internet service,Male,No,Yes,"37.339533, -121.777179",37.339533,-121.777179,19.8,No,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,Loyal Customers,71,1396.25,95148
2711,"",42,0,Stockton,5942,Month-to-month,Yes,No,Male,DSL,No,"37.959706, -121.287669",37.959706,-121.287669,65.15,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,No,Yes,2,No,New Customers,11,723.35,95202
2712,"",66,0,Stockton,2962,One year,No,No internet service,Male,No,Yes,"37.954089, -121.329761",37.954089,-121.329761,19.65,No,No internet service,No internet service,No,Yes,Mailed check,Yes,Yes,No internet service,No internet service,0,No internet service,established customers,14,228.65,95203
2713,"",27,0,Stockton,5407,Two year,No,Yes,Female,DSL,No,"37.974498, -121.319568",37.974498,-121.319568,88.95,Yes,Yes,Yes,No,No,Credit card (automatic),Yes,No,Yes,Yes,6,Yes,established customers,13,1161.75,95204
2714,"",75,0,Stockton,3478,Month-to-month,Yes,No internet service,Male,No,Yes,"37.965695, -121.260051",37.965695,-121.260051,20.2,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,6,98.35,95205
2715,"",28,0,Stockton,5193,Month-to-month,Yes,No,Male,Fiber optic,No,"37.902422, -121.440029",37.902422,-121.440029,75.2,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,Yes,No,No,0,No,New Customers,11,775.3,95206
2716,"",59,0,Stockton,5558,Month-to-month,No,No,Male,DSL,No,"38.002125, -121.324979",38.002125,-121.324979,56.8,Yes,Yes,No,No,Yes,Credit card (automatic),Yes,No,No,No,1,No,established customers,18,1074.65,95207
2717,"",76,0,Stockton,3131,Month-to-month,No,No,Female,Fiber optic,No,"38.033219, -121.297433",38.033219,-121.297433,75.5,No,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,1,No,established customers,32,2324.7,95210
2718,"",74,0,Stockton,3898,One year,No,No,Male,DSL,Yes,"38.049457, -121.21653",38.049457,-121.21653,35.6,No phone service,No,Yes,No,No,Mailed check,No,No,No,No,2,Yes,established customers,29,1072.6,95212
2719,"",31,0,Stockton,4830,Month-to-month,No,No,Female,DSL,Yes,"37.946282, -121.139499",37.946282,-121.139499,60.25,Yes,No,No,Yes,No,Electronic check,Yes,No,No,Yes,1,No,New Customers,3,170.5,95215
2720,"",79,0,Angels Camp,2454,Month-to-month,No,No,Female,DSL,Yes,"38.071327, -120.632221",38.071327,-120.632221,40.35,No phone service,Yes,No,Yes,No,Electronic check,No,No,Yes,No,2,No,established customers,41,1677.85,95222
2721,"",37,0,Arnold,5084,Month-to-month,No,No internet service,Female,No,Yes,"38.32153, -120.236358",38.32153,-120.236358,18.85,No,No internet service,No internet service,No,No,Electronic check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,1,18.85,95223
2722,"",20,0,Avery,3481,Month-to-month,No,No,Male,DSL,Yes,"38.208336, -120.339938",38.208336,-120.339938,54.85,No,No,No,No,No,Mailed check,Yes,No,No,Yes,1,No,New Customers,7,370.4,95224
2723,"",73,0,Burson,4405,One year,No,Yes,Female,DSL,Yes,"38.183918, -120.898817",38.183918,-120.898817,64.3,No,No,Yes,Yes,Yes,Mailed check,Yes,No,No,Yes,3,No,Loyal Customers,52,3410.6,95225
2724,"",67,0,Campo Seco,3043,Two year,Yes,No internet service,Female,No,No,"38.233879, -120.861666",38.233879,-120.861666,24.65,Yes,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,0,No internet service,established customers,45,1138.8,95226
2725,"",67,0,Clements,5115,Two year,No,Yes,Male,DSL,No,"38.227285, -121.02789",38.227285,-121.02789,76.1,Yes,Yes,No,No,Yes,Credit card (automatic),Yes,No,No,Yes,4,Yes,Loyal Customers,70,5264.25,95227
2726,"",54,0,Copperopolis,4116,Two year,No,No internet service,Female,No,Yes,"37.943954, -120.67108",37.943954,-120.67108,18.7,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,Loyal Customers,53,1005.7,95228
2727,"",50,0,Farmington,5428,One year,No,Yes,Female,Fiber optic,No,"37.956963, -120.863055",37.956963,-120.863055,97.95,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,Yes,No,Yes,3,No,Loyal Customers,62,5936.55,95230
2728,"",62,0,French Camp,5267,Month-to-month,No,No,Female,Fiber optic,No,"37.873283, -121.292034",37.873283,-121.292034,94.1,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,No,3,No,Loyal Customers,60,5475.9,95231
2729,"",66,0,Hathaway Pines,4025,Month-to-month,No,No,Female,Fiber optic,Yes,"38.184914, -120.364085",38.184914,-120.364085,95.1,No,No,Yes,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,3,No,established customers,23,2326.05,95233
2730,"",50,0,Lockeford,4910,One year,No,Yes,Female,DSL,No,"38.166791, -121.14207",38.166791,-121.14207,72.35,No,No,Yes,Yes,No,Bank transfer (automatic),Yes,No,Yes,No,4,Yes,Loyal Customers,67,4991.5,95237
2731,"",20,0,Lodi,5089,Two year,No,Yes,Female,DSL,No,"38.128087, -121.4078",38.128087,-121.4078,82.7,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,No,5,Yes,Loyal Customers,71,5831.2,95242
2732,"",22,0,Mokelumne Hill,2130,One year,No,No internet service,Male,No,No,"38.304194, -120.592431",38.304194,-120.592431,19.9,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,0,No internet service,established customers,25,510.8,95245
2733,"",78,0,Mountain Ranch,2182,Month-to-month,No,No,Female,DSL,Yes,"38.264262, -120.515133",38.264262,-120.515133,53.8,Yes,No,Yes,Yes,No,Electronic check,Yes,No,No,No,1,No,New Customers,5,283.95,95246
2734,"",36,0,Murphys,3130,One year,No,No,Male,DSL,No,"38.147852, -120.440124",38.147852,-120.440124,51.55,Yes,No,No,Yes,No,Credit card (automatic),Yes,No,No,No,0,No,established customers,26,1295.4,95247
2735,"",53,0,San Andreas,2539,One year,No,No internet service,Male,No,Yes,"38.196497, -120.61689",38.196497,-120.61689,19.65,No,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,1,19.65,95249
2736,"",68,0,Sheep Ranch,4022,One year,No,Yes,Male,DSL,No,"38.244806, -120.417301",38.244806,-120.417301,44.05,No phone service,Yes,No,Yes,No,Credit card (automatic),No,Yes,No,Yes,3,No,Loyal Customers,70,3011.65,95250
2737,"",29,0,Vallecito,4558,Two year,Yes,Yes,Male,Fiber optic,Yes,"38.055562, -120.456298",38.055562,-120.456298,114,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes,6,Yes,Loyal Customers,72,8093.15,95251
2738,"",59,0,Wallace,4848,Month-to-month,Yes,No,Female,Fiber optic,Yes,"38.192608, -120.957842",38.192608,-120.957842,100.4,Yes,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,3,No,established customers,32,3217.65,95254
